"PCB Part";"Value";"Notes"
"C1, C2, C3, C4, C5, C6, C7, C10, C11";"100n, 0805";""
"D1";"1N4001, DO214BA";""
"L2";"Ferrite bead, low R, 1206/3216";""
"LED1, LED2";"LED 1206";""
"Q1";"AO3400, SOT23";""
"Q2";"BC808, SOT23";""
"R1, R2, R3, R4, R12, R13";"2.2 – 3.3Κ, 0805";""
"R5, R7";"2.2K, 0805";""
"R6";"5.1K, 0805";""
"R8, R11";"1K, 0805";""
"R9, R10";"10K, 0805";""
"U1";"24LC256, SO-08";""
"U2, U4";"SI8605, SOIC-16";""
"U3, U5";"MCP23008, SO-18W";""
"DC_5V";".100 (2.54mm) – 2 Pin";""
"EXP";".100 (2.54mm) – 2×4 Pin";""
"I2C";".100 (2.54mm) – 3 Pin";""
"I2C_ISOL1A, I2C_ISOL1B";".100 (2.54mm) – 6 Pin";""
"I2C_ISOL2";".100 (2.54mm) – 3 Pin";""
"IR";".100 (2.54mm) – 3 Pin";""
"JP1, JP2";".100 (2.54mm) female – 6 Pin";""
"JP3, JP4";".100 (2.54mm) female – 8 Pin";""
"UART";".100 (2.54mm) – 3 Pin";""
"MCP_ISOL1";".100 (2.54mm) – 10 Pin";""
"MCP_ISOL2";".100 (2.54mm) – 2×6 Pin";""
"POWER_RELAY";".100 (2.54mm) – 2 Pin";""
"ROTENC";".100 (2.54mm) – 4 Pin";""
"STM32_BLUE_PILL";"STM32F103C uC board";""
